Actual_Order,A,B,C,P_MPa,T_degC,Flow_kgh,ExtYield,CarnosicAcid_mgg,Carnosol_mgg
1,1,-1,-1,0,10,40,2,0.659,67.94,40.71
2,2,0,-1,-1,20,40,1,3.385,48.04,61.70
3,3,0,-1,1,20,40,3,4.026,120.05,51.08
4,4,-1,0,1,10,50,3,1.144,25.49,39.77
5,5,0,0,0,20,50,2,3.768,47.56,65.51
6,6,1,0,1,30,50,3,7.361,116.25,60.63
7,7,1,0,-1,30,50,1,5.238,61.78,61.47
8,8,0,1,1,20,60,3,5.477,38.53,58.00
9,9,-1,0,-1,10,50,1,0.242,0.29,0.46
10,10,-1,1,0,10,60,2,0.365,2.93,1.80
11,11,0,0,0,20,50,2,3.305,39.78,37.28
12,12,1,1,0,30,60,2,4.316,18.93,64.19
13,13,0,0,0,20,50,2,2.552,55.61,46.72
14,14,1,-1,0,30,40,2,3.803,71.94,54.75
15,15,0,1,-1,20,60,1,4.891,1.64,35.19
16,16,0,0,0,20,50,2,4.528,66.20,61.02
