Actual_Order,A,B,C,P_bar,T_degC,Time_min,ExtYield,DPPH_percent,ABTS_percent
1,-1.000,1.000,1.000,100.0,50.0,60.0,5.49,32.3,77.7
2,1.000,1.000,-1.000,180.0,50.0,20.0,8.14,56.5,73.1
3,0.000,0.000,0.000,140.0,45.0,40.0,6.51,62.2,81.0
4,-1.000,-1.000,1.000,100.0,40.0,60.0,8.90,38.6,70.7
5,1.000,-1.000,-1.000,180.0,40.0,20.0,6.08,67.2,77.9
6,1.000,-1.000,1.000,180.0,40.0,60.0,9.56,71.3,84.5
7,1.682,0.000,0.000,207.3,45.0,40.0,8.05,58.9,94.5
8,0.000,0.000,0.000,140.0,45.0,40.0,7.31,53.6,70.1
9,0.000,-1.682,0.000,140.0,36.6,40.0,7.62,57.3,93.5
10,1.000,1.000,1.000,180.0,50.0,60.0,9.82,73.8,87.4
11,-1.000,-1.000,-1.000,100.0,40.0,20.0,6.14,37.7,66.5
12,-1.000,1.000,-1.000,100.0,50.0,20.0,5.00,24.7,75.0
14,0.000,0.000,1.682,140.0,45.0,73.6,7.09,64.3,85.7
15,0.000,0.000,0.000,140.0,45.0,40.0,6.22,61.0,60.4
16,0.000,0.000,0.000,140.0,45.0,40.0,7.15,67.1,66.8
17,0.000,1.682,0.000,140.0,53.4,40.0,9.02,55.2,92.3
18,0.000,0.000,0.000,140.0,45.0,40.0,6.49,NA,NA
19,0.000,0.000,-1.682,140.0,45.0,6.4,3.81,32.3,82.2
