Actual_Order,A,B,C,P_bar,T_degC,EtOH_percent,ExtYield,Purity_Ergosterol,Recovery_Ergosterol
1,0.000,0.000,1.682,190,50,10,2.140,186.31,3.99
2,1.682,0.000,0.000,280,50,5,1.406,434.46,6.11
3,-1.682,0.000,0.000,100,50,5,1.090,547.27,5.97
4,0.000,0.000,0.000,190,50,5,1.524,300.70,4.58
5,0.000,-1.682,0.000,190,40,5,1.499,395.35,5.93
6,-1.000,1.000,-1.000,136,56,2,1.223,424.48,5.19
7,-1.000,-1.000,-1.000,136,44,2,1.137,529.25,6.02
8,0.000,0.000,0.000,190,50,5,1.502,318.55,4.78
9,0.000,0.000,-1.682,190,50,0,0.834,462.78,3.86
10,1.000,1.000,1.000,244,56,8,1.999,311.80,6.23
11,0.000,0.000,0.000,190,50,5,1.534,308.34,4.73
12,-1.000,-1.000,1.000,136,44,8,1.347,427.29,5.76
13,1.000,1.000,-1.000,244,56,2,0.931,518.69,4.83
14,1.000,-1.000,1.000,244,44,8,1.982,312.66,6.20
15,0.000,1.682,0.000,190,60,5,1.415,285.49,4.04
16,1.000,-1.000,-1.000,244,44,2,1.370,393.17,5.39
17,-1.000,1.000,1.000,136,56,8,1.709,184.37,3.15

